actor,role,title,award,score_1,score_2,num_reviews,polarity_mean,objectivity_mean,numeric_key,ordering,height,year,duration,avg_vote,votes,budget,worlwide_gross_income,metascore,weighted_average_vote,total_votes,mean_vote,median_vote,votes_10,votes_9,votes_8,votes_7,votes_6,votes_5,votes_4,votes_3,votes_2,votes_1,allgenders_0age_avg_vote,allgenders_0age_votes,allgenders_18age_avg_vote,allgenders_18age_votes,allgenders_30age_avg_vote,allgenders_30age_votes,allgenders_45age_avg_vote,allgenders_45age_votes,males_allages_avg_vote,males_allages_votes,males_0age_avg_vote,males_0age_votes,males_18age_avg_vote,males_18age_votes,males_30age_avg_vote,males_30age_votes,males_45age_avg_vote,males_45age_votes,females_allages_avg_vote,females_allages_votes,females_0age_avg_vote,females_0age_votes,females_18age_avg_vote,females_18age_votes,females_30age_avg_vote,females_30age_votes,females_45age_avg_vote,females_45age_votes,top1000_voters_rating,top1000_voters_votes,us_voters_rating,us_voters_votes,non_us_voters_rating,non_us_voters_votes,age_at_performance
Albert Finney,geoffrey firmin,under the volcano,1.0,71.0,71.0,5.0,-0.125,0.275,6,1,175.0,1984,112,7.0,4809,0,2556800,70.0,7.0,4809,7.1,7.0,397,492,1153,1326,699,355,179,70,62,76,0,0,7.3,319.0,7.0,1570.0,7.0,1924.0,7.0,3463.0,0,0,7.3,281.0,7.0,1410.0,6.9,1694.0,7.2,388.0,0,0,7.1,34.0,7.1,138.0,7.4,209.0,6.5,209.0,7.0,1349.0,7.0,2261.0,48.0
Alec Guinness,henry holland,the lavender hill mob,1.0,87.0,100.0,4.0,0.16250000000000006,0.5347222222222222,7,1,176.0,1951,78,7.6,12413,0,10945,0,7.6,12413,7.7,8.0,1250,1752,4492,3139,1092,405,117,60,32,74,10.0,1.0,7.6,856.0,7.5,4205.0,7.7,4651.0,7.6,8614.0,10.0,1.0,7.6,722.0,7.5,3631.0,7.7,4038.0,7.6,1256.0,0,0,7.6,130.0,7.4,529.0,7.8,561.0,7.4,344.0,7.7,3202.0,7.6,6068.0,37.0
Alec Guinness,lieutenant colonel nicholson,the bridge on the river kwai,2.0,93.0,95.0,12.0,0.2887757575757576,0.5413969565787747,7,2,176.0,1957,161,8.1,198693,3000000,27200000,87.0,8.1,198693,8.1,8.0,33269,47927,64395,33690,10405,3822,1543,954,780,1908,8.1,79.0,8.2,21263.0,8.1,76836.0,8.2,46373.0,8.2,134994.0,8.2,63.0,8.2,19194.0,8.1,69765.0,8.2,40372.0,7.9,14168.0,7.4,10.0,7.7,1816.0,7.8,6296.0,8.2,5384.0,8.1,719.0,8.4,42072.0,8.0,85888.0,43.0
Alexander Knox,woodrow wilson,wilson,1.0,42.0,89.0,4.0,0.4784722222222222,0.74375,8,1,183.0,1944,154,6.4,1406,4000000,0,0,6.4,1406,6.7,7.0,174,80,211,358,253,152,81,37,28,32,0,0,6.5,66.0,6.1,343.0,6.5,728.0,6.4,978.0,0,0,6.5,57.0,6.1,293.0,6.5,608.0,6.3,173.0,0,0,6.0,9.0,6.2,48.0,6.5,113.0,6.4,148.0,6.5,756.0,6.2,334.0,37.0
Alfred Lunt,the actor,the guardsman,1.0,0.0,0.0,0.0,0.0,0.0,9,1,188.0,1931,82,6.5,456,0,0,0,6.5,456,6.6,7.0,28,36,59,126,107,58,23,3,9,7,5.0,1.0,6.8,12.0,6.4,105.0,6.6,248.0,6.5,298.0,0,0,6.4,9.0,6.4,81.0,6.6,200.0,6.7,71.0,5.0,1.0,7.7,3.0,6.5,23.0,6.8,43.0,6.6,66.0,6.6,295.0,6.5,64.0,39.0
Andrew Garfield,desmond doss,hacksaw ridge,1.0,91.0,84.0,54.0,0.11758775041383734,0.6528854131979132,10,1,179.0,2016,139,8.1,418336,40000000,180450918,71.0,8.1,418336,8.2,8.0,81105,106663,127465,65565,20985,7747,3404,1708,1182,2512,8.5,529.0,8.3,105917.0,7.9,127547.0,8.0,31442.0,8.1,250627.0,8.5,381.0,8.3,86838.0,7.9,109681.0,8.0,26671.0,8.3,42069.0,8.0,79.0,8.4,16906.0,8.1,15967.0,8.3,4198.0,7.7,633.0,8.1,42251.0,8.0,161932.0,33.0
Anthony Franciosa,polo pope,a hatful of rain,1.0,0.0,0.0,0.0,0.0,0.0,11,3,185.0,1957,109,7.2,1113,0,0,0,7.2,1113,7.3,7.0,108,138,268,332,148,49,29,21,15,5,0,0,7.3,34.0,7.2,245.0,7.1,601.0,7.1,740.0,0,0,7.3,24.0,7.2,198.0,7.1,498.0,7.3,161.0,0,0,7.2,9.0,7.1,44.0,7.4,99.0,6.4,124.0,7.3,542.0,6.8,300.0,29.0
Anthony Hopkins,dr hannibal lecter,the silence of the lambs,2.0,95.0,96.0,28.0,0.12485310245310248,0.6205565961815963,12,2,175.0,1991,118,8.6,1234134,19000000,272753884,85.0,8.6,1234134,8.5,9.0,288213,405645,344397,131203,34978,12717,5627,3199,2526,5629,8.7,756.0,8.6,246505.0,8.6,468623.0,8.6,137199.0,8.6,727178.0,8.7,504.0,8.6,185222.0,8.6,378631.0,8.6,110732.0,8.6,176084.0,8.5,157.0,8.6,56082.0,8.5,83095.0,8.7,23763.0,8.7,905.0,8.7,195889.0,8.6,492534.0,54.0
Anthony Hopkins,james stevens,the remains of the day,1.0,89.0,95.0,10.0,0.13439153439153434,0.4314814814814814,12,1,175.0,1993,134,7.8,64018,15000000,23237911,84.0,7.8,64018,7.9,8.0,9546,11980,20848,12851,4838,1939,762,448,267,539,7.9,17.0,7.7,6172.0,7.7,24390.0,8.0,17439.0,7.8,36739.0,8.4,8.0,7.8,4255.0,7.7,17960.0,8.0,13252.0,7.8,12356.0,7.6,8.0,7.6,1803.0,7.7,6106.0,8.1,3922.0,7.4,513.0,7.9,11217.0,7.8,32282.0,56.0
Anthony Hopkins,richard nixon,nixon,1.0,74.0,74.0,19.0,0.0922954822954823,0.6388461538461538,12,1,175.0,1995,192,7.1,28317,44000000,13681765,66.0,7.1,28317,7.1,7.0,2524,2873,6177,8803,4340,1764,619,352,273,592,7.0,4.0,7.3,1468.0,7.1,12110.0,7.0,7680.0,7.1,19846.0,7.0,2.0,7.3,1321.0,7.1,11167.0,7.0,6829.0,7.0,1754.0,7.0,2.0,7.2,134.0,6.9,825.0,7.0,750.0,6.7,415.0,7.1,7458.0,7.0,12452.0,58.0
Anthony Quinn,gino,wild is the wind,1.0,0.0,0.0,0.0,0.0,0.0,13,1,187.0,1957,114,6.7,863,0,0,0,6.7,863,7.3,7.0,194,50,118,231,150,49,32,24,11,4,0,0,6.8,47.0,6.8,233.0,6.7,412.0,6.7,571.0,0,0,6.8,30.0,6.7,187.0,6.6,343.0,7.1,131.0,0,0,6.9,17.0,6.9,44.0,7.4,66.0,5.8,104.0,6.9,316.0,6.6,360.0,42.0
Anthony Quinn,alexis zorba,zorba the greek,1.0,86.0,80.0,0.0,0.0,0.0,13,1,187.0,1964,142,7.7,20226,783000,0,0,7.7,20226,7.9,8.0,4098,3211,5661,4001,1623,720,371,169,141,231,9.0,1.0,7.8,2092.0,7.7,8534.0,7.6,5548.0,7.7,13761.0,9.0,1.0,7.8,1617.0,7.7,7087.0,7.6,4632.0,7.8,2746.0,0,0,8.0,458.0,7.8,1356.0,7.7,856.0,6.9,352.0,7.4,3364.0,7.7,11217.0,49.0
