ACTOR,ROLE,TITLE,AWARD,SCORE_1,SCORE_2,NUM_REVIEWS,polarity_mean,objectivity_mean,NUMERIC_KEY
Charles Boyer,gregory anton,gaslight,1.0,90.0,87.0,7.0,0.0519675925925926,0.5280092592592592,32
Charles Boyer,cesar,fanny,1.0,0.0,0.0,0.0,0.0,0.0,32
Charles Laughton,king henry viii of england,the private life of henry viii,2.0,74.0,100.0,0.0,0.0,0.0,33
Charles Laughton,captain william bligh,mutiny on the bounty,1.0,83.0,93.0,10.0,0.3319444444444445,0.6269097222222223,33
Charles Laughton,sir wilfrid robarts,witness for the prosecution,1.0,95.0,100.0,7.0,0.12777777777777777,0.562037037037037,33
Charlie Chaplin,adenoid hynkel,the great dictator,1.0,95.0,93.0,11.0,0.2089236111111111,0.6741666666666666,34
Charlton Heston,judah ben-hur,ben-hur,2.0,89.0,86.0,11.0,0.2902390791027154,0.5598278236914601,35
Chester Morris,chick williams,alibi,1.0,38.0,50.0,4.0,0.22083333333333335,0.5541666666666667,36
Chiwetel Ejiofor,solomon northup,12 years a slave,1.0,90.0,95.0,64.0,0.13345281713816196,0.6219272511857258,37
Christian Bale,irving rosenfeld,american hustle,1.0,74.0,92.0,36.0,0.2617095533143327,0.5096793648209089,38
Christian Bale,dick cheney,vice,1.0,60.0,65.0,33.0,-0.0023351648351648438,0.5470306513409962,38
Clark Gable,peter warne,it happened one night,2.0,93.0,98.0,14.0,0.355797193877551,0.5669436813186813,39
Clark Gable,lieutenant fletcher christian,mutiny on the bounty,1.0,83.0,93.0,10.0,0.3319444444444445,0.6269097222222223,39
Clark Gable,rhett butler,gone with the wind,1.0,92.0,91.0,23.0,0.2152575757575758,0.5772538308252594,39
Cliff Robertson,charly gordon,charly,2.0,62.0,63.0,4.0,-0.31666666666666665,0.6611111111111111,40
Clifton Webb,lynn aloysius belvedere,sitting pretty,1.0,0.0,0.0,0.0,0.0,0.0,41
Clint Eastwood,william will munny,unforgiven,1.0,93.0,96.0,27.0,0.22484561357010335,0.45372785082412415,42
Clint Eastwood,frankie dunn,million dollar baby,1.0,90.0,91.0,41.0,0.21382194392908677,0.5344451381951382,42
Colin Firth,george falconer,a single man,1.0,81.0,85.0,38.0,0.17201373141849333,0.5036625145553717,43
Colin Firth,king george vi,the kings speech,2.0,92.0,94.0,43.0,0.16007257448433918,0.5877788800705468,43
Cornel Wilde,frederic chopin,a song to remember,1.0,0.0,0.0,0.0,0.0,0.0,44
Dan Dailey,skid johnson,when my baby smiles at me,1.0,0.0,0.0,1.0,0.7055555555555556,0.46666666666666673,45
Dan O'Herlihy,robinson crusoe,robinson crusoe,1.0,0.0,0.0,0.0,0.0,0.0,46
Daniel Day-Lewis,christy brown,my left foot,2.0,92.0,98.0,12.0,0.3205138888888889,0.6324444444444445,47
Daniel Day-Lewis,gerry conlon,in the name of the father,1.0,95.0,94.0,15.0,0.36525641025641026,0.6171343537414966,47
Daniel Day-Lewis,william bill the butcher cutting,gangs of new york,1.0,81.0,73.0,31.0,0.07449335386835386,0.5820522533022534,47
Daniel Day-Lewis,daniel plainview,there will be blood,2.0,86.0,92.0,36.0,0.21686823978490644,0.5374472271023994,47
Daniel Day-Lewis,abraham lincoln,lincoln,2.0,81.0,89.0,38.0,0.2982278138528139,0.5578622448979592,47
Daniel Day-Lewis,reynolds woodcock,phantom thread,1.0,71.0,91.0,37.0,0.19324202449202452,0.5905051707551707,47
Daniel Kaluuya,chris washington,get out,1.0,86.0,98.0,45.0,0.18480705141419426,0.5002430476994937,48
David Niven,major angus pollock,separate tables,2.0,76.0,69.0,1.0,-0.11083333333333334,0.2,49
David Strathairn,edward r murrow,good night and good luck,1.0,83.0,93.0,31.0,0.2882832792207792,0.5948442092886537,50
Demian Bichir,carlos galindo,a better life,1.0,79.0,85.0,27.0,0.1988037988581467,0.5126412698412698,51
Denzel Washington,malcolm x,malcolm x,1.0,91.0,88.0,15.0,0.11700729825729825,0.5094932844932845,52
Denzel Washington,rubin the hurricane carter,the hurricane,1.0,87.0,83.0,22.0,0.27274038461538463,0.5470008680555556,52
Denzel Washington,detective sergeant alonzo harris,training day,2.0,89.0,73.0,24.0,0.1575776562618668,0.5838868003341687,52
Denzel Washington,william whip whitaker sr,flight,1.0,75.0,78.0,35.0,0.2493409455128205,0.5982875167160882,52
Denzel Washington,troy maxson,fences,1.0,75.0,92.0,37.0,0.22090245775729647,0.4873995535714286,52
Denzel Washington,roman j israel,roman j israel esq,1.0,53.0,54.0,33.0,0.021811933106575965,0.5856704980842913,52
Dexter Gordon,dale turner,round midnight,1.0,89.0,100.0,9.0,0.2254251700680272,0.48203373015873013,53
Don Cheadle,paul rusesabagina,hotel rwanda,1.0,94.0,91.0,26.0,0.15186189414450285,0.5571995115995116,54
Dudley Moore,arthur bach,arthur,1.0,77.0,88.0,9.0,0.07388392857142856,0.5696428571428571,55
